Date,Price,Open,High,Low,Vol.,Change %
4/6/2020,26.08,26.09,28.24,25.28,752.71K,-7.97%
4/3/2020,28.34,24.81,29.13,23.52,1.01M,11.93%
4/2/2020,25.32,21.22,27.39,20.76,1.10M,24.67%
4/1/2020,20.31,20.1,21.55,19.9,703.29K,-0.83%
3/31/2020,20.48,20.23,21.89,20.01,660.08K,1.94%
3/30/2020,20.09,20.93,20.93,19.27,758.71K,-6.60%
3/27/2020,21.51,23.29,23.44,20.88,603.12K,-4.82%
3/26/2020,22.6,24.25,24.65,22.38,633.88K,-7.72%
3/25/2020,24.49,24.37,25.24,22.91,618.73K,2.00%
3/24/2020,24.01,23.87,25.16,23.09,659.70K,2.78%
3/23/2020,23.36,22.52,24.07,20.8,852.95K,4.15%
3/20/2020,22.43,24.73,27.89,19.46,29.76K,-11.06%
3/19/2020,25.22,22.3,27.71,21.36,136.72K,23.81%
3/18/2020,20.37,26.94,27.22,20.06,309.48K,-24.42%
3/17/2020,26.95,28.69,30.3,26.63,545.82K,-6.10%
3/16/2020,28.7,33.75,33.75,28.1,698.83K,-9.55%
3/13/2020,31.73,30.77,33.87,30.33,743.13K,0.73%
3/12/2020,31.5,33.07,33.63,30.02,1.03M,-4.49%
3/11/2020,32.98,34.62,36.35,32.56,874.65K,-4.02%
3/10/2020,34.36,30.37,35.02,30.2,1.06M,10.38%
3/9/2020,31.13,32.87,34.88,27.34,1.77M,-24.59%
3/6/2020,41.28,46.09,46.38,41.05,1.28M,-10.07%
3/5/2020,45.9,47.13,47.57,45.65,704.59K,-1.88%
3/4/2020,46.78,46.94,48.41,46.65,745.86K,-0.85%
3/3/2020,47.18,47.72,48.66,46.47,1.01M,0.92%
3/2/2020,46.75,43.7,47.56,43.32,949.47K,4.45%
2/28/2020,44.76,46.49,47.03,43.85,1.10M,-4.95%
2/27/2020,47.09,48.63,48.78,45.88,1.01M,-3.37%
2/26/2020,48.73,50.08,50.44,48.3,884.48K,-2.34%
2/25/2020,49.9,51.37,52.02,49.69,764.99K,-2.97%
2/24/2020,51.43,52.6,52.64,50.45,765.52K,-3.65%
2/21/2020,53.38,53.74,53.86,52.55,707.56K,-0.74%
2/20/2020,53.78,53.5,54.5,53.22,30.67K,0.92%
2/19/2020,53.29,52.12,53.66,51.93,113.68K,2.38%
2/18/2020,52.05,52.23,52.41,50.88,221.77K,-0.29%
2/17/2020,52.2,52.34,52.59,52.05,,-0.31%
2/16/2020,52.36,52.45,52.63,52.34,,0.60%
2/14/2020,52.05,51.51,52.34,51.32,607.34K,1.23%
2/13/2020,51.42,51.72,51.96,50.6,745.40K,0.49%
2/12/2020,51.17,49.96,51.73,49.95,795.26K,2.46%
2/11/2020,49.94,49.61,50.69,49.58,725.73K,0.75%
2/10/2020,49.57,50.12,50.49,49.42,715.89K,-1.49%
2/7/2020,50.32,51.11,51.48,50.09,768.35K,-1.24%
2/6/2020,50.95,51.17,52.2,50.24,750.66K,0.39%
2/5/2020,50.75,49.51,51.88,49.47,887.95K,2.30%
2/4/2020,49.61,49.94,51.55,49.31,859.36K,-1.00%
2/3/2020,50.11,51.01,51.97,49.8,876.04K,-2.81%
1/31/2020,51.56,52.92,53.36,50.97,827.91K,-1.11%
1/30/2020,52.14,53.09,53.2,51.66,720.12K,-2.23%
1/29/2020,53.33,53.97,54.37,52.81,624.98K,-0.28%
1/28/2020,53.48,52.77,54.06,52.68,633.96K,0.64%
1/27/2020,53.14,53.7,53.71,52.13,712.88K,-1.94%
1/24/2020,54.19,55.69,55.95,53.85,586.20K,-2.52%
1/23/2020,55.59,56.11,56.27,54.77,704.00K,-2.03%
1/22/2020,56.74,58.26,58.38,56.03,620.12K,-2.74%
1/21/2020,58.34,59.17,59.73,57.68,50.18K,-0.66%
1/20/2020,58.73,59.28,59.32,58.56,,-0.91%
1/19/2020,59.27,59.36,59.66,59.2,,1.25%
1/17/2020,58.54,58.59,58.98,58.27,122.56K,0.03%
1/16/2020,58.52,58.1,58.87,57.56,182.87K,1.23%
1/15/2020,57.81,58.2,58.36,57.36,433.17K,-0.72%
1/14/2020,58.23,58.03,58.72,57.72,507.71K,0.26%
1/13/2020,58.08,59.04,59.27,57.91,584.00K,-1.63%
1/10/2020,59.04,59.61,59.78,58.85,596.19K,-0.87%
1/9/2020,59.56,59.99,60.31,58.66,750.93K,-0.08%
1/8/2020,59.61,62.84,65.65,59.15,1.21M,-4.93%
1/7/2020,62.7,62.91,63.15,62.11,582.65K,-0.90%
1/6/2020,63.27,63.71,64.72,62.64,724.24K,0.35%
1/3/2020,63.05,61.18,64.09,61.13,885.86K,3.06%
